Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,B365>2.5,B365<2.5
D1,17/12/2019,19:30,Dortmund,RB Leipzig,3,3,1.44,2.75
D1,17/12/2019,19:30,Union Berlin,Hoffenheim,0,2,1.8,2
D1,18/12/2019,17:30,Leverkusen,Hertha,0,1,1.53,2.5
D1,18/12/2019,19:30,Ein Frankfurt,FC Koln,2,4,1.57,2.37
D1,18/12/2019,19:30,Freiburg,Bayern Munich,1,3,1.28,3.75
D1,18/12/2019,19:30,M'gladbach,Paderborn,2,0,1.28,3.75
D1,18/12/2019,19:30,Wolfsburg,Schalke 04,1,1,2,1.8
D1,20/12/2019,19:30,Hoffenheim,Dortmund,2,1,1.44,2.75
D1,21/12/2019,14:30,Bayern Munich,Wolfsburg,2,0,1.3,3.5
D1,21/12/2019,14:30,FC Koln,Werder Bremen,1,0,1.57,2.37
D1,21/12/2019,14:30,Mainz,Leverkusen,0,1,1.44,2.75
D1,21/12/2019,14:30,RB Leipzig,Augsburg,3,1,1.33,3.4
D1,21/12/2019,14:30,Schalke 04,Freiburg,2,2,1.66,2.2
D1,21/12/2019,17:30,Hertha,M'gladbach,0,0,1.61,2.3
D1,22/12/2019,14:30,Fortuna Dusseldorf,Union Berlin,2,1,1.9,1.9
D1,22/12/2019,17:00,Paderborn,Ein Frankfurt,2,1,1.44,2.75
D1,17/01/2020,19:30,Schalke 04,M'gladbach,2,0,1.72,2.1
D1,18/01/2020,14:30,Augsburg,Dortmund,3,5,1.44,2.75
D1,18/01/2020,14:30,FC Koln,Wolfsburg,3,1,1.9,1.9
D1,18/01/2020,14:30,Fortuna Dusseldorf,Werder Bremen,0,1,1.66,2.2
D1,18/01/2020,14:30,Hoffenheim,Ein Frankfurt,1,2,1.53,2.5
D1,18/01/2020,14:30,Mainz,Freiburg,1,2,1.66,2.2
D1,18/01/2020,17:30,RB Leipzig,Union Berlin,3,1,1.44,2.75
D1,19/01/2020,14:30,Hertha,Bayern Munich,0,4,1.4,3
D1,19/01/2020,17:00,Paderborn,Leverkusen,1,4,1.44,2.75
D1,24/01/2020,19:30,Dortmund,FC Koln,5,1,1.3,3.5
D1,25/01/2020,14:30,Ein Frankfurt,RB Leipzig,2,0,1.4,3
D1,25/01/2020,14:30,Freiburg,Paderborn,0,2,1.5,2.62
D1,25/01/2020,14:30,M'gladbach,Mainz,3,1,1.36,3.2
D1,25/01/2020,14:30,Union Berlin,Augsburg,2,0,1.8,2
D1,25/01/2020,14:30,Wolfsburg,Hertha,1,2,1.9,1.9
